DTH,HAS,current_yield,future_yield,image_num,target_dry,target_fresh,tray,pos
19,37,10,240,463,210,270.6,31,3
19,37,10,240,468,210,270.6,31,3
18,38,10,220,486,210,270.6,31,3
18,38,10,220,504,210,270.6,31,3
18,38,10,220,510,210,270.6,31,3
17,39,10,210,526,210,270.6,31,3
17,39,10,210,533,210,270.6,31,3
17,39,10,210,550,210,270.6,31,3
16,40,10,190,559,210,270.6,31,3
16,40,10,190,571,210,270.6,31,3
15,41,10,180,572,210,270.6,31,3
14,42,10,160,586,210,270.6,31,3
14,42,10,160,596,210,270.6,31,3
14,42,10,160,602,210,270.6,31,3
13,43,20,190,614,210,270.6,31,3
13,43,20,190,619,210,270.6,31,3
12,44,20,170,632,210,270.6,31,3
12,44,30,200,649,210,270.6,31,3
11,45,40,200,663,210,270.6,31,3
11,45,40,200,674,210,270.6,31,3
10,46,50,190,683,210,270.6,31,3
10,46,50,190,701,210,270.6,31,3
10,46,60,200,707,210,270.6,31,3
10,46,70,210,725,210,270.6,31,3
9,47,70,190,743,210,270.6,31,3
9,47,80,200,745,210,270.6,31,3
9,47,90,210,762,210,270.6,31,3
8,48,90,190,779,210,270.6,31,3
8,48,120,220,790,210,270.6,31,3
7,49,130,210,807,210,270.6,31,3
7,49,130,210,825,210,270.6,31,3
7,49,140,220,829,210,270.6,31,3
6,50,150,210,847,210,270.6,31,3
6,50,150,210,864,210,270.6,31,3
4,52,180,200,866,210,270.6,31,3
4,52,180,200,886,210,270.6,31,3
3,53,200,210,887,210,270.6,31,3
1,55,220,210,899,210,270.6,31,3
0,56,240,220,909,210,270.6,31,3
0,56,250,230,929,210,270.6,31,3
30,26,10,400,1,180,232,31,4
30,26,10,400,9,180,232,31,4
29,27,20,430,10,180,232,31,4
29,27,10,380,14,180,232,31,4
28,28,10,370,29,180,232,31,4
28,28,10,370,31,180,232,31,4
28,28,10,370,37,180,232,31,4
27,29,10,350,56,180,232,31,4
27,29,10,350,66,180,232,31,4
27,29,10,350,76,180,232,31,4
26,30,10,340,86,180,232,31,4
26,30,10,340,95,180,232,31,4
25,31,10,330,110,180,232,31,4
25,31,10,330,126,180,232,31,4
24,32,10,310,142,180,232,31,4
24,32,10,310,159,180,232,31,4
24,32,10,310,160,180,232,31,4
23,33,10,300,179,180,232,31,4
23,33,10,300,195,180,232,31,4
23,33,10,300,196,180,232,31,4
22,34,10,280,214,180,232,31,4
22,34,10,280,231,180,232,31,4
22,34,10,280,245,180,232,31,4
21,35,10,270,262,180,232,31,4
21,35,10,270,275,180,232,31,4
21,35,10,270,289,180,232,31,4
21,35,10,270,295,180,232,31,4
20,36,10,250,312,180,232,31,4
20,36,10,250,316,180,232,31,4
20,36,10,250,330,180,232,31,4
19,37,10,240,336,180,232,31,4
19,37,10,240,354,180,232,31,4
18,38,10,220,372,180,232,31,4
18,38,10,220,390,180,232,31,4
18,38,10,220,391,180,232,31,4
17,39,10,210,396,180,232,31,4
17,39,10,210,414,180,232,31,4
17,39,10,210,427,180,232,31,4
16,40,10,190,445,180,232,31,4
16,40,10,190,463,180,232,31,4
16,40,10,190,468,180,232,31,4
15,41,10,180,486,180,232,31,4
15,41,10,180,504,180,232,31,4
15,41,10,180,510,180,232,31,4
14,42,10,160,526,180,232,31,4
14,42,10,160,533,180,232,31,4
13,43,10,140,550,180,232,31,4
13,43,10,140,559,180,232,31,4
13,43,10,140,571,180,232,31,4
11,45,20,160,572,180,232,31,4
11,45,20,160,586,180,232,31,4
11,45,20,160,596,180,232,31,4
10,46,20,140,602,180,232,31,4
10,46,20,140,614,180,232,31,4
10,46,30,170,619,180,232,31,4
9,47,40,160,632,180,232,31,4
8,48,50,150,649,180,232,31,4
8,48,60,160,663,180,232,31,4
8,48,70,170,674,180,232,31,4
7,49,70,150,683,180,232,31,4
7,49,80,160,701,180,232,31,4
7,49,90,170,707,180,232,31,4
6,50,100,160,725,180,232,31,4
6,50,100,160,743,180,232,31,4
6,50,110,170,745,180,232,31,4
5,51,120,160,762,180,232,31,4
5,51,120,160,779,180,232,31,4
5,51,130,170,790,180,232,31,4
4,52,130,150,807,180,232,31,4
4,52,140,160,825,180,232,31,4
4,52,150,170,829,180,232,31,4
3,53,160,170,847,180,232,31,4
3,53,170,180,864,180,232,31,4
1,55,190,180,866,180,232,31,4
1,55,200,190,886,180,232,31,4
0,56,230,210,887,180,232,31,4
34,22,10,450,1,290,362.8,31,5
33,23,10,440,9,290,362.8,31,5
33,23,10,440,10,290,362.8,31,5
32,24,10,430,14,290,362.8,31,5
31,25,10,410,29,290,362.8,31,5
31,25,10,410,31,290,362.8,31,5
31,25,10,410,37,290,362.8,31,5
31,25,10,410,56,290,362.8,31,5
30,26,10,400,66,290,362.8,31,5
30,26,10,400,76,290,362.8,31,5
29,27,10,380,86,290,362.8,31,5
29,27,10,380,95,290,362.8,31,5
28,28,10,370,110,290,362.8,31,5
28,28,10,370,126,290,362.8,31,5
27,29,10,350,142,290,362.8,31,5
27,29,10,350,159,290,362.8,31,5
27,29,10,350,160,290,362.8,31,5
27,29,10,350,179,290,362.8,31,5
26,30,10,340,195,290,362.8,31,5
26,30,10,340,196,290,362.8,31,5
26,30,10,340,214,290,362.8,31,5
25,31,10,330,231,290,362.8,31,5
25,31,10,330,245,290,362.8,31,5
25,31,10,330,262,290,362.8,31,5
24,32,10,310,275,290,362.8,31,5
24,32,10,310,289,290,362.8,31,5
24,32,10,310,295,290,362.8,31,5
24,32,10,310,312,290,362.8,31,5
23,33,10,300,316,290,362.8,31,5
23,33,10,300,330,290,362.8,31,5
23,33,10,300,336,290,362.8,31,5
22,34,10,280,354,290,362.8,31,5
21,35,10,270,372,290,362.8,31,5
21,35,10,270,390,290,362.8,31,5
21,35,10,270,391,290,362.8,31,5
21,35,10,270,396,290,362.8,31,5
20,36,10,250,414,290,362.8,31,5
20,36,10,250,427,290,362.8,31,5
20,36,10,250,445,290,362.8,31,5
19,37,10,240,463,290,362.8,31,5
19,37,10,240,468,290,362.8,31,5
18,38,10,220,486,290,362.8,31,5
18,38,10,220,504,290,362.8,31,5
18,38,10,220,510,290,362.8,31,5
17,39,10,210,526,290,362.8,31,5
17,39,10,210,533,290,362.8,31,5
17,39,10,210,550,290,362.8,31,5
16,40,10,190,559,290,362.8,31,5
16,40,10,190,571,290,362.8,31,5
15,41,10,180,572,290,362.8,31,5
14,42,10,160,586,290,362.8,31,5
14,42,10,160,596,290,362.8,31,5
14,42,10,160,602,290,362.8,31,5
13,43,10,140,614,290,362.8,31,5
13,43,20,190,619,290,362.8,31,5
12,44,20,170,632,290,362.8,31,5
12,44,30,200,649,290,362.8,31,5
11,45,30,190,663,290,362.8,31,5
11,45,30,190,674,290,362.8,31,5
10,46,40,180,683,290,362.8,31,5
10,46,40,180,701,290,362.8,31,5
10,46,50,190,707,290,362.8,31,5
10,46,50,190,725,290,362.8,31,5
9,47,50,170,743,290,362.8,31,5
9,47,60,180,745,290,362.8,31,5
9,47,60,180,762,290,362.8,31,5
8,48,70,170,779,290,362.8,31,5
8,48,90,190,790,290,362.8,31,5
7,49,90,170,807,290,362.8,31,5
7,49,90,170,825,290,362.8,31,5
7,49,100,180,829,290,362.8,31,5
6,50,90,150,847,290,362.8,31,5
6,50,100,160,864,290,362.8,31,5
4,52,130,150,866,290,362.8,31,5
4,52,140,160,886,290,362.8,31,5
3,53,180,190,887,290,362.8,31,5
1,55,200,190,899,290,362.8,31,5
0,56,230,210,909,290,362.8,31,5
0,56,230,210,929,290,362.8,31,5
26,30,10,340,1,20,290.2,31,6
25,31,10,330,9,20,290.2,31,6
25,31,10,330,10,20,290.2,31,6
24,32,30,400,14,20,290.2,31,6
24,32,10,310,29,20,290.2,31,6
23,33,10,300,31,20,290.2,31,6
23,33,10,300,37,20,290.2,31,6
23,33,10,300,56,20,290.2,31,6
22,34,10,280,66,20,290.2,31,6
22,34,10,280,76,20,290.2,31,6
21,35,10,270,86,20,290.2,31,6
21,35,10,270,95,20,290.2,31,6
20,36,10,250,110,20,290.2,31,6
20,36,10,250,126,20,290.2,31,6
19,37,10,240,142,20,290.2,31,6
19,37,10,240,159,20,290.2,31,6
19,37,10,240,160,20,290.2,31,6
19,37,10,240,179,20,290.2,31,6
18,38,10,220,195,20,290.2,31,6
18,38,10,220,196,20,290.2,31,6
18,38,10,220,214,20,290.2,31,6
17,39,10,210,231,20,290.2,31,6
17,39,10,210,245,20,290.2,31,6
17,39,10,210,262,20,290.2,31,6
16,40,10,190,275,20,290.2,31,6
16,40,10,190,289,20,290.2,31,6
16,40,10,190,295,20,290.2,31,6
16,40,10,190,312,20,290.2,31,6
15,41,10,180,316,20,290.2,31,6
15,41,10,180,330,20,290.2,31,6
15,41,10,180,336,20,290.2,31,6
14,42,10,160,354,20,290.2,31,6
14,42,10,160,372,20,290.2,31,6
13,43,10,140,390,20,290.2,31,6
13,43,10,140,391,20,290.2,31,6
13,43,10,140,396,20,290.2,31,6
12,44,10,130,414,20,290.2,31,6
12,44,10,130,427,20,290.2,31,6
12,44,10,130,445,20,290.2,31,6
11,45,10,110,463,20,290.2,31,6
11,45,10,110,468,20,290.2,31,6
11,45,10,110,486,20,290.2,31,6
10,46,10,100,504,20,290.2,31,6
34,22,10,450,1,270,345.5,31,7
33,23,10,440,9,270,345.5,31,7
33,23,40,560,10,270,345.5,31,7
32,24,60,610,14,270,345.5,31,7
31,25,10,410,29,270,345.5,31,7
31,25,10,410,31,270,345.5,31,7
31,25,10,410,37,270,345.5,31,7
31,25,10,410,56,270,345.5,31,7
30,26,10,400,66,270,345.5,31,7
30,26,10,400,76,270,345.5,31,7
29,27,10,380,86,270,345.5,31,7
29,27,10,380,95,270,345.5,31,7
28,28,10,370,110,270,345.5,31,7
28,28,10,370,126,270,345.5,31,7
27,29,10,350,142,270,345.5,31,7
27,29,10,350,159,270,345.5,31,7
27,29,10,350,160,270,345.5,31,7
27,29,10,350,179,270,345.5,31,7
26,30,10,340,195,270,345.5,31,7
26,30,10,340,196,270,345.5,31,7
26,30,10,340,214,270,345.5,31,7
25,31,10,330,231,270,345.5,31,7
25,31,10,330,245,270,345.5,31,7
25,31,10,330,262,270,345.5,31,7
24,32,10,310,275,270,345.5,31,7
24,32,10,310,289,270,345.5,31,7
24,32,10,310,295,270,345.5,31,7
24,32,10,310,312,270,345.5,31,7
23,33,10,300,316,270,345.5,31,7
23,33,10,300,330,270,345.5,31,7
23,33,10,300,336,270,345.5,31,7
22,34,10,280,354,270,345.5,31,7
21,35,10,270,372,270,345.5,31,7
21,35,10,270,390,270,345.5,31,7
21,35,10,270,391,270,345.5,31,7
21,35,10,270,396,270,345.5,31,7
20,36,10,250,414,270,345.5,31,7
20,36,10,250,427,270,345.5,31,7
20,36,10,250,445,270,345.5,31,7
19,37,10,240,463,270,345.5,31,7
19,37,10,240,468,270,345.5,31,7
18,38,10,220,486,270,345.5,31,7
18,38,10,220,504,270,345.5,31,7
18,38,20,270,510,270,345.5,31,7
17,39,20,250,526,270,345.5,31,7
17,39,20,250,533,270,345.5,31,7
17,39,20,250,550,270,345.5,31,7
16,40,20,240,559,270,345.5,31,7
16,40,30,280,571,270,345.5,31,7
15,41,30,260,572,270,345.5,31,7
14,42,40,260,586,270,345.5,31,7
14,42,40,260,596,270,345.5,31,7
14,42,40,260,602,270,345.5,31,7
13,43,40,240,614,270,345.5,31,7
13,43,50,260,619,270,345.5,31,7
12,44,60,250,632,270,345.5,31,7
12,44,70,260,649,270,345.5,31,7
11,45,80,250,663,270,345.5,31,7
11,45,90,260,674,270,345.5,31,7
10,46,100,240,683,270,345.5,31,7
10,46,100,240,701,270,345.5,31,7
10,46,120,260,707,270,345.5,31,7
10,46,120,260,725,270,345.5,31,7
9,47,130,250,743,270,345.5,31,7
9,47,140,260,745,270,345.5,31,7
9,47,140,260,762,270,345.5,31,7
8,48,140,240,779,270,345.5,31,7
8,48,170,270,790,270,345.5,31,7
7,49,170,240,807,270,345.5,31,7
7,49,180,250,825,270,345.5,31,7
7,49,180,250,829,270,345.5,31,7
6,50,190,250,847,270,345.5,31,7
6,50,200,260,864,270,345.5,31,7
4,52,210,240,866,270,345.5,31,7
4,52,220,250,886,270,345.5,31,7
3,53,230,250,887,270,345.5,31,7
1,55,240,230,899,270,345.5,31,7
0,56,260,240,909,270,345.5,31,7
0,56,260,240,929,270,345.5,31,7
27,29,10,350,1,3,27.2,31,8
26,30,10,340,9,3,27.2,31,8
26,30,40,460,10,3,27.2,31,8
25,31,70,510,14,3,27.2,31,8
25,31,10,330,29,3,27.2,31,8
24,32,10,310,31,3,27.2,31,8
24,32,10,310,37,3,27.2,31,8
24,32,10,310,56,3,27.2,31,8
23,33,10,300,66,3,27.2,31,8
23,33,10,300,76,3,27.2,31,8
22,34,10,280,86,3,27.2,31,8
22,34,10,280,95,3,27.2,31,8
21,35,10,270,110,3,27.2,31,8
21,35,10,270,126,3,27.2,31,8
21,35,10,270,142,3,27.2,31,8
20,36,10,250,159,3,27.2,31,8
20,36,10,250,160,3,27.2,31,8
20,36,10,250,179,3,27.2,31,8
19,37,10,240,195,3,27.2,31,8
19,37,10,240,196,3,27.2,31,8
19,37,10,240,214,3,27.2,31,8
18,38,10,220,231,3,27.2,31,8
18,38,10,220,245,3,27.2,31,8
34,22,10,450,1,210,271.5,31,9
33,23,10,440,9,210,271.5,31,9
33,23,50,600,10,210,271.5,31,9
32,24,10,430,14,210,271.5,31,9
31,25,10,410,29,210,271.5,31,9
31,25,10,410,31,210,271.5,31,9
31,25,10,410,37,210,271.5,31,9
31,25,10,410,56,210,271.5,31,9
30,26,10,400,66,210,271.5,31,9
30,26,10,400,76,210,271.5,31,9
29,27,10,380,86,210,271.5,31,9
29,27,10,380,95,210,271.5,31,9
28,28,10,370,110,210,271.5,31,9
28,28,10,370,126,210,271.5,31,9
27,29,10,350,142,210,271.5,31,9
27,29,10,350,159,210,271.5,31,9
27,29,10,350,160,210,271.5,31,9
27,29,10,350,179,210,271.5,31,9
26,30,10,340,195,210,271.5,31,9
26,30,10,340,196,210,271.5,31,9
26,30,10,340,214,210,271.5,31,9
25,31,10,330,231,210,271.5,31,9
25,31,10,330,245,210,271.5,31,9
25,31,10,330,262,210,271.5,31,9
24,32,10,310,275,210,271.5,31,9
24,32,10,310,289,210,271.5,31,9
24,32,10,310,295,210,271.5,31,9
24,32,10,310,312,210,271.5,31,9
23,33,10,300,316,210,271.5,31,9
23,33,10,300,330,210,271.5,31,9
23,33,10,300,336,210,271.5,31,9
22,34,10,280,354,210,271.5,31,9
21,35,10,270,372,210,271.5,31,9
21,35,10,270,390,210,271.5,31,9
21,35,10,270,391,210,271.5,31,9
21,35,10,270,396,210,271.5,31,9
20,36,10,250,414,210,271.5,31,9
20,36,10,250,427,210,271.5,31,9
20,36,10,250,445,210,271.5,31,9
19,37,10,240,463,210,271.5,31,9
19,37,10,240,468,210,271.5,31,9
18,38,10,220,486,210,271.5,31,9
18,38,10,220,504,210,271.5,31,9
18,38,10,220,510,210,271.5,31,9
17,39,10,210,526,210,271.5,31,9
17,39,10,210,533,210,271.5,31,9
17,39,10,210,550,210,271.5,31,9
16,40,10,190,559,210,271.5,31,9
16,40,10,190,571,210,271.5,31,9
15,41,20,220,572,210,271.5,31,9
14,42,20,210,586,210,271.5,31,9
14,42,20,210,596,210,271.5,31,9
14,42,20,210,602,210,271.5,31,9
13,43,20,190,614,210,271.5,31,9
13,43,20,190,619,210,271.5,31,9
12,44,30,200,632,210,271.5,31,9
12,44,40,220,649,210,271.5,31,9
11,45,40,200,663,210,271.5,31,9
11,45,40,200,674,210,271.5,31,9
10,46,50,190,683,210,271.5,31,9
10,46,50,190,701,210,271.5,31,9
10,46,60,200,707,210,271.5,31,9
10,46,70,210,725,210,271.5,31,9
9,47,70,190,743,210,271.5,31,9
9,47,90,210,745,210,271.5,31,9
9,47,100,220,762,210,271.5,31,9
8,48,90,190,779,210,271.5,31,9
8,48,120,220,790,210,271.5,31,9
7,49,120,200,807,210,271.5,31,9
7,49,130,210,825,210,271.5,31,9
7,49,130,210,829,210,271.5,31,9
6,50,130,190,847,210,271.5,31,9
6,50,140,200,864,210,271.5,31,9
4,52,140,160,866,210,271.5,31,9
4,52,150,170,886,210,271.5,31,9
3,53,180,190,887,210,271.5,31,9
1,55,210,200,899,210,271.5,31,9
0,56,240,220,909,210,271.5,31,9
0,56,250,230,929,210,271.5,31,9
27,29,10,350,1,100,118,31,10
26,30,10,340,9,100,118,31,10
26,30,30,420,10,100,118,31,10
25,31,10,330,14,100,118,31,10
25,31,10,330,29,100,118,31,10
25,31,10,330,31,100,118,31,10
24,32,10,310,37,100,118,31,10
24,32,10,310,56,100,118,31,10
24,32,10,310,66,100,118,31,10
23,33,10,300,76,100,118,31,10
23,33,10,300,86,100,118,31,10
22,34,10,280,95,100,118,31,10
22,34,10,280,110,100,118,31,10
21,35,10,270,126,100,118,31,10
21,35,10,270,142,100,118,31,10
21,35,10,270,159,100,118,31,10
20,36,10,250,160,100,118,31,10
20,36,10,250,179,100,118,31,10
20,36,10,250,195,100,118,31,10
19,37,10,240,196,100,118,31,10
19,37,10,240,214,100,118,31,10
19,37,10,240,231,100,118,31,10
18,38,10,220,245,100,118,31,10
18,38,10,220,262,100,118,31,10
18,38,10,220,275,100,118,31,10
17,39,10,210,289,100,118,31,10
17,39,10,210,295,100,118,31,10
17,39,10,210,312,100,118,31,10
17,39,10,210,316,100,118,31,10
16,40,10,190,330,100,118,31,10
16,40,10,190,336,100,118,31,10
15,41,10,180,354,100,118,31,10
15,41,10,180,372,100,118,31,10
15,41,10,180,390,100,118,31,10
14,42,10,160,391,100,118,31,10
14,42,10,160,396,100,118,31,10
14,42,10,160,414,100,118,31,10
13,43,10,140,427,100,118,31,10
13,43,10,140,445,100,118,31,10
13,43,10,140,463,100,118,31,10
12,44,10,130,468,100,118,31,10
12,44,10,130,486,100,118,31,10
12,44,10,130,504,100,118,31,10
11,45,10,110,510,100,118,31,10
11,45,10,110,526,100,118,31,10
10,46,10,100,533,100,118,31,10
10,46,10,100,550,100,118,31,10
10,46,10,100,559,100,118,31,10
9,47,10,80,571,100,118,31,10
8,48,10,70,572,100,118,31,10
8,48,10,70,586,100,118,31,10
7,49,10,50,596,100,118,31,10
7,49,10,50,602,100,118,31,10
7,49,10,50,614,100,118,31,10
6,50,20,70,619,100,118,31,10
6,50,20,70,632,100,118,31,10
5,51,30,70,649,100,118,31,10
5,51,30,70,663,100,118,31,10
4,52,30,50,674,100,118,31,10
4,52,40,60,683,100,118,31,10
4,52,40,60,701,100,118,31,10
3,53,50,60,707,100,118,31,10
3,53,50,60,725,100,118,31,10
3,53,60,70,743,100,118,31,10
2,54,70,60,745,100,118,31,10
2,54,80,70,762,100,118,31,10
2,54,90,80,779,100,118,31,10
1,55,110,90,790,100,118,31,10
1,55,120,100,807,100,118,31,10
1,55,130,110,825,100,118,31,10
0,56,140,110,829,100,118,31,10
0,56,150,120,847,100,118,31,10
0,56,150,120,864,100,118,31,10
34,22,10,450,1,200,258.5,31,11
33,23,10,440,9,200,258.5,31,11
33,23,20,480,10,200,258.5,31,11
32,24,30,510,14,200,258.5,31,11
31,25,10,410,29,200,258.5,31,11
31,25,10,410,31,200,258.5,31,11
31,25,10,410,37,200,258.5,31,11
31,25,10,410,56,200,258.5,31,11
30,26,10,400,66,200,258.5,31,11
30,26,10,400,76,200,258.5,31,11
29,27,10,380,86,200,258.5,31,11
29,27,10,380,95,200,258.5,31,11
28,28,10,370,110,200,258.5,31,11
28,28,10,370,126,200,258.5,31,11
27,29,10,350,142,200,258.5,31,11
27,29,10,350,159,200,258.5,31,11
27,29,10,350,160,200,258.5,31,11
27,29,10,350,179,200,258.5,31,11
26,30,10,340,195,200,258.5,31,11
26,30,10,340,196,200,258.5,31,11
26,30,10,340,214,200,258.5,31,11
25,31,10,330,231,200,258.5,31,11
25,31,10,330,245,200,258.5,31,11
25,31,10,330,262,200,258.5,31,11
24,32,10,310,275,200,258.5,31,11
24,32,10,310,289,200,258.5,31,11
24,32,10,310,295,200,258.5,31,11
24,32,10,310,312,200,258.5,31,11
23,33,10,300,316,200,258.5,31,11
23,33,10,300,330,200,258.5,31,11
23,33,10,300,336,200,258.5,31,11
22,34,10,280,354,200,258.5,31,11
21,35,10,270,372,200,258.5,31,11
21,35,10,270,390,200,258.5,31,11
21,35,10,270,391,200,258.5,31,11
21,35,10,270,396,200,258.5,31,11
20,36,10,250,414,200,258.5,31,11
20,36,10,250,427,200,258.5,31,11
20,36,10,250,445,200,258.5,31,11
19,37,10,240,463,200,258.5,31,11
19,37,10,240,468,200,258.5,31,11
18,38,10,220,486,200,258.5,31,11
18,38,10,220,504,200,258.5,31,11
18,38,10,220,510,200,258.5,31,11
17,39,10,210,526,200,258.5,31,11
17,39,10,210,533,200,258.5,31,11
17,39,10,210,550,200,258.5,31,11
16,40,10,190,559,200,258.5,31,11
16,40,10,190,571,200,258.5,31,11
15,41,10,180,572,200,258.5,31,11
14,42,10,160,586,200,258.5,31,11
14,42,10,160,596,200,258.5,31,11
