,DTH,HAS,current_yield,date,future_yield,image_num,name,pos,target_dry,target_fresh,tray
1543,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_1-3_716.png,p-3,260,738.5,32
1645,16,40,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_1-4_716.png,p-4,160,209,32
1738,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_1-5_716.png,p-5,230,583.2,32
1840,10,46,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_2-1_716.png,p-6,10,156.8,32
1888,19,37,20,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_2-2_716.png,p-7,280,734.3,32
2016,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_2-4_716.png,p-9,110,277.1,32
2118,13,43,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_2-5_716.png,p-10,110,132,32
2200,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_3-1_716.png,p-11,190,549.6,32
2302,12,44,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_3-2_716.png,p-12,100,120,32
2384,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_3-3_716.png,p-13,250,637.4,32
2486,11,45,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_3-4_716.png,p-14,30,40,32
2550,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_3-5_716.png,p-15,250,637.2,32
2652,16,40,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_4-1_716.png,p-16,130,176,32
2745,19,37,20,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_4-2_716.png,p-17,270,688.8,32
2847,12,44,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_4-3_716.png,p-18,10,141.9,32
2895,19,37,20,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_4-4_716.png,p-19,320,727.2,32
3023,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_1-1_716.png,p-1,280,752.3,33
3125,8,48,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_1-2_716.png,p-2,50,64.3,33
3189,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_1-3_716.png,p-3,290,803.4,33
3291,16,40,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_1-4_716.png,p-4,150,193,33
3384,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_1-5_716.png,p-5,270,680.4,33
3486,11,45,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_2-1_716.png,p-6,10,190.3,33
3534,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_2-2_716.png,p-7,230,639.3,33
3662,19,37,20,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_2-4_716.png,p-9,320,820.8,33
3764,12,44,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_2-5_716.png,p-10,90,118,33
3846,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_3-1_716.png,p-11,220,576.5,33
3948,12,44,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_3-2_716.png,p-12,100,133.4,33
4030,19,37,20,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_3-3_716.png,p-13,260,713.7,33
4132,10,46,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_3-4_716.png,p-14,40,58.4,33
4196,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_3-5_716.png,p-15,320,729.6,33
4298,16,40,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_4-1_716.png,p-16,120,157,33
4391,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_4-2_716.png,p-17,280,701.6,33
4493,9,47,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_4-3_716.png,p-18,10,174.7,33
4541,19,37,10,2015-12-29:13-44-42,1,716,PSI_Tray033_2015-12-29--13-44-42_top_4-4_716.png,p-19,290,804.2,33
4669,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_1-1_715.png,p-1,170,235.3,34
4771,11,45,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_1-2_715.png,p-2,30,38.8,34
4835,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_1-3_715.png,p-3,130,182.6,34
4937,16,40,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_1-4_715.png,p-4,150,184,34
5030,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_1-5_715.png,p-5,200,262.8,34
5132,12,44,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_2-1_715.png,p-6,8,131.6,34
5180,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_2-2_715.png,p-7,240,317.5,34
5308,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_2-4_715.png,p-9,220,288.7,34
5410,12,44,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_2-5_715.png,p-10,70,88.6,34
5492,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_3-1_715.png,p-11,180,243.7,34
5594,12,44,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_3-2_715.png,p-12,70,87.5,34
5676,19,37,20,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_3-3_715.png,p-13,260,344.7,34
5778,8,48,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_3-4_715.png,p-14,50,58.3,34
5842,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_3-5_715.png,p-15,340,439.8,34
5944,16,40,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_4-1_715.png,p-16,160,213,34
6037,19,37,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_4-2_715.png,p-17,220,295.6,34
6139,8,48,10,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_4-3_715.png,p-18,9,138.7,34
6187,19,37,20,2015-12-29:13-45-30,1,715,PSI_Tray034_2015-12-29--13-45-30_top_4-4_715.png,p-19,320,422.1,34
41,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_1-1_489.png,p-1,220,266,31
120,12,44,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_1-2_489.png,p-2,40,51.3,31
176,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_1-3_489.png,p-3,210,270.6,31
255,15,41,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_1-4_489.png,p-4,180,232,31
331,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_1-5_489.png,p-5,290,362.8,31
410,11,45,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_2-1_489.png,p-6,20,290.2,31
453,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_2-2_489.png,p-7,270,345.5,31
555,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_2-4_489.png,p-9,210,271.5,31
634,12,44,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_2-5_489.png,p-10,100,118,31
707,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_3-1_489.png,p-11,200,258.5,31
786,12,44,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_3-2_489.png,p-12,70,79,31
859,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_3-3_489.png,p-13,180,229.5,31
938,15,41,20,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_3-4_489.png,p-14,50,63.9,31
994,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_3-5_489.png,p-15,180,231.8,31
1073,15,41,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_4-1_489.png,p-16,120,165,31
1149,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_4-2_489.png,p-17,330,414.8,31
1228,11,45,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_4-3_489.png,p-18,9,149.8,31
1271,18,38,10,2015-12-29:14-10-21,1,486,PSI_Tray031_2015-12-29--14-10-21_top_4-4_489.png,p-19,140,172,31
1378,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_1-1_734.png,p-1,270,674.3,32
1480,8,48,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_1-2_734.png,p-2,50,59,32
1544,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_1-3_734.png,p-3,260,738.5,32
1646,16,40,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_1-4_734.png,p-4,160,209,32
1739,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_1-5_734.png,p-5,230,583.2,32
1841,9,47,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_2-1_734.png,p-6,10,156.8,32
1889,19,37,20,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_2-2_734.png,p-7,280,734.3,32
2017,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_2-4_734.png,p-9,110,277.1,32
2119,12,44,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_2-5_734.png,p-10,110,132,32
2201,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_3-1_734.png,p-11,190,549.6,32
2303,12,44,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_3-2_734.png,p-12,100,120,32
2385,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_3-3_734.png,p-13,250,637.4,32
2487,10,46,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_3-4_734.png,p-14,30,40,32
2551,19,37,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_3-5_734.png,p-15,250,637.2,32
2653,16,40,10,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_4-1_734.png,p-16,130,176,32
2746,19,37,20,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_4-2_734.png,p-17,270,688.8,32
2848,11,45,20,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_4-3_734.png,p-18,10,141.9,32
2896,19,37,20,2015-12-29:17-51-56,1,734,PSI_Tray032_2015-12-29--17-51-56_top_4-4_734.png,p-19,320,727.2,32
3024,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_1-1_734.png,p-1,280,752.3,33
3126,8,48,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_1-2_734.png,p-2,50,64.3,33
3190,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_1-3_734.png,p-3,290,803.4,33
3292,16,40,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_1-4_734.png,p-4,150,193,33
3385,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_1-5_734.png,p-5,270,680.4,33
3487,11,45,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_2-1_734.png,p-6,10,190.3,33
3535,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_2-2_734.png,p-7,230,639.3,33
3663,19,37,20,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_2-4_734.png,p-9,320,820.8,33
3765,12,44,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_2-5_734.png,p-10,90,118,33
3847,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_3-1_734.png,p-11,220,576.5,33
3949,12,44,20,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_3-2_734.png,p-12,100,133.4,33
4031,19,37,20,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_3-3_734.png,p-13,260,713.7,33
4133,9,47,20,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_3-4_734.png,p-14,40,58.4,33
4197,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_3-5_734.png,p-15,320,729.6,33
4299,16,40,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_4-1_734.png,p-16,120,157,33
4392,19,37,20,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_4-2_734.png,p-17,280,701.6,33
4494,9,47,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_4-3_734.png,p-18,10,174.7,33
4542,19,37,10,2015-12-29:17-52-54,1,734,PSI_Tray033_2015-12-29--17-52-54_top_4-4_734.png,p-19,290,804.2,33
4670,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_1-1_733.png,p-1,170,235.3,34
4772,11,45,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_1-2_733.png,p-2,30,38.8,34
4836,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_1-3_733.png,p-3,130,182.6,34
4938,16,40,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_1-4_733.png,p-4,150,184,34
5031,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_1-5_733.png,p-5,200,262.8,34
5133,12,44,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_2-1_733.png,p-6,8,131.6,34
5181,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_2-2_733.png,p-7,240,317.5,34
5309,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_2-4_733.png,p-9,220,288.7,34
5411,12,44,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_2-5_733.png,p-10,70,88.6,34
5493,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_3-1_733.png,p-11,180,243.7,34
5595,12,44,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_3-2_733.png,p-12,70,87.5,34
5677,19,37,20,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_3-3_733.png,p-13,260,344.7,34
5779,7,49,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_3-4_733.png,p-14,50,58.3,34
5843,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_3-5_733.png,p-15,340,439.8,34
5945,16,40,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_4-1_733.png,p-16,160,213,34
6038,19,37,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_4-2_733.png,p-17,220,295.6,34
6140,8,48,10,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_4-3_733.png,p-18,9,138.7,34
6188,19,37,20,2015-12-29:17-53-48,1,733,PSI_Tray034_2015-12-29--17-53-48_top_4-4_733.png,p-19,320,422.1,34
42,18,38,10,2015-12-29:18-18-50,1,504,PSI_Tray031_2015-12-29--18-18-50_top_1-1_507.png,p-1,220,266,31
121,12,44,10,2015-12-29:18-18-50,1,504,PSI_Tray031_2015-12-29--18-18-50_top_1-2_507.png,p-2,40,51.3,31
